product_id,review
A000000002323,57
A000000002341,90
A000000002345,84
A000000002346,99
A000000002652,100
A000000002653,100
A000000002654,100
A000000002838,100
A000000002839,100
A000000002844,96
A000000002845,100
A000000002846,100
A000000002848,99
A000000003996,96
A000000004434,100
A000000004925,96
A000000005336,98
A000000005764,62
A000000005766,99
A000000005767,98
A000000006836,98
A000000006837,99
A000000009148,100
A000000010047,100
A000000010048,97
A000000010088,97
A000000010460,97
A000000010461,100
A000000010462,100
A000000010470,99
A000000010471,98
A000000010472,98
A000000010474,100
A000000010476,100
A000000010482,100
A000000010486,97
A000000010498,100
A000000010507,100
A000000011268,98
A000000011762,98
A000000012312,100
A000000012315,100
A000000012473,97
A000000012621,99
A000000012755,100
A000000012809,97
A000000012863,100
A000000012880,100
A000000012881,96
A000000013004,100
A000000013141,89
A000000013194,98
A000000013225,100
A000000013632,100
A000000013882,100
A000000013883,100
A000000014183,97
A000000014290,99
A000000014357,100
A000000014358,99
A000000014359,99
A000000014360,100
A000000014686,100
A000000014948,100
A000000015026,100
A000000015302,56
A000000015389,100
A000000015651,99
A000000015771,98
A000000015920,99
A000000016430,99
A000000016432,100
A000000016651,97
A000000016686,100
A000000016694,99
A000000016697,92
A000000016698,99
A000000016704,97
A000000016808,99
A000000016809,100
A000000016873,100
A000000102377,100
A000000103098,99
A000000105886,69
A000000105887,99
A000000106038,94
A000000106503,100
A000000110508,100
A000000110832,80
A000000111986,98
A000000112172,100
A000000112173,97
A000000112179,100
A000000112410,28
A000000112523,100
A000000112636,100
A000000113195,99
A000000113471,95
A000000113494,59
A000000113496,36
A000000113609,65
A000000113611,62
A000000114119,100
A000000114176,100
A000000114267,98
A000000115199,100
A000000115417,92
A000000115418,97
A000000115419,100
A000000115420,96
A000000115447,100
A000000116032,100
A000000116135,94
A000000116600,79
A000000116601,81
A000000116658,100
A000000116659,85
A000000117620,23
A000000117622,26
A000000117624,96
A000000117701,100
A000000117807,97
A000000117808,99
A000000117809,99
A000000117820,72
A000000118797,96
A000000118798,100
A000000118803,99
A000000118831,100
A000000119839,98
A000000120127,100
A000000120323,100
A000000121076,100
A000000121852,100
A000000121994,60
A000000121995,55
A000000122076,100
A000000122980,75
A000000122981,86
A000000123568,99
A000000123594,100
A000000124547,62
A000000124548,83
A000000124941,100
A000000124982,74
A000000125012,90
A000000125149,99
A000000125836,190
A000000125846,48
A000000125954,100
A000000126470,99
A000000126471,98
A000000126665,100
A000000126862,100
A000000127574,99
A000000128988,96
A000000129008,100
A000000129009,99
A000000129026,99
A000000129030,100
A000000129032,99
A000000129035,100
A000000129171,100
A000000129771,100
A000000129772,100
A000000129773,100
A000000129774,99
A000000130138,100
A000000130319,100
A000000130833,25
A000000130949,92
A000000130951,90
A000000131012,99
A000000131022,100
A000000131745,99
A000000134690,100
A000000134691,99
A000000136535,25
A000000136537,22
A000000136538,24
A000000136546,100
A000000136873,100
A000000137304,100
A000000137307,100
A000000137692,100
A000000137786,90
A000000139057,100
A000000139347,100
A000000139348,100
A000000139940,100
A000000139956,98
A000000139958,99
A000000139961,100
A000000140631,100
A000000141028,100
A000000141172,78
A000000141540,100
A000000141662,78
A000000142178,100
A000000142661,100
A000000142694,99
A000000142945,100
A000000142946,98
A000000143167,100
A000000143769,100
A000000143958,100
A000000143959,100
A000000145131,22
A000000145213,100
A000000145217,100
A000000145226,100
A000000145273,21
A000000145274,68
A000000145275,74
A000000145276,36
A000000145277,100
