,군집1,군집2,군집3,군집4,군집5
아토피,0.021510516252390057,0.03960136375557304,0.04583333333333333,0.03770667301058642,0.01905280348394121
탄력,0.03919694072657744,0.03829006031995804,0.008333333333333333,0.04555727370048769,0.02286336418072945
피지과다,0.01338432122370937,0.00944138473642801,0.008333333333333333,0.006542167241584394,0.011976047904191617
모공,0.5315487571701721,0.5339627589824285,0.5583333333333333,0.5265849886998929,0.5492651061513337
트러블,0.1037284894837476,0.11749278783110412,0.12083333333333333,0.09575353871773522,0.14262384322264562
각질,0.32361376673040154,0.26881720430107525,0.2916666666666667,0.26299512311169265,0.27980402830702233
잡티,0.1534416826003824,0.14634146341463414,0.14583333333333334,0.16260259307719757,0.15187806205770277
블랙헤드,0.1147227533460803,0.13821138211382114,0.15,0.13655287260616153,0.1638541099618944
홍조,0.024378585086042064,0.02989771833202203,0.008333333333333333,0.024860235518020697,0.02558519324986391
주름,0.04254302103250478,0.034880671387359036,0.05,0.05090995598905674,0.031573217201959713
다크서클,0.058317399617590825,0.07317073170731707,0.07916666666666666,0.07446175805876055,0.045182362547632006
미백,0.2251434034416826,0.24311565696302123,0.2,0.22231473771856786,0.20359281437125748
