,product_id,카테고리,평점,속성_num,트러블,수분,세정력,보습,메이크업,건성,진정,저자극,세안,화장,피부타입_건성에 좋아요,피부타입_복합성에 좋아요,피부타입_지성에 좋아요
0,A000000111986,클렌징,4.8,1,7,4,17,1,17,10,3,49,16,24,0.29,0.55,0.16
1,A000000161960,스킨케어,4.7,1,16,9,0,38,8,17,4,6,4,14,0.49,0.46,0.05
2,A000000149880,스킨케어,4.7,1,9,44,0,20,9,11,9,13,12,21,0.49,0.43,0.08
3,A000000161319,스킨케어,4.6,1,8,32,0,16,4,10,8,18,10,16,0.63,0.34,0.03
4,A000000010486,스킨케어,4.6,1,6,14,0,11,2,9,25,21,3,10,0.35,0.51,0.14
5,A000000002654,클렌징,4.8,1,27,6,47,4,29,17,11,61,59,64,0.21,0.65,0.14
6,A000000014358,스킨케어,4.7,1,15,28,0,17,4,7,30,20,14,23,0.33,0.54,0.13
7,A000000016697,스킨케어,4.8,1,2,17,0,17,3,1,23,16,11,17,0.35,0.54,0.11
8,A000000013632,스킨케어,4.7,1,2,20,0,12,4,3,12,18,6,16,0.34,0.52,0.14
9,A000000010498,스킨케어,4.8,1,18,41,0,29,7,11,44,29,15,36,0.34,0.53,0.13
10,A000000142945,스킨케어,4.7,1,9,19,0,23,5,10,21,25,16,34,0.27,0.64,0.09
11,A000000171830,클렌징,4.8,1,21,4,34,4,24,15,6,58,40,53,0.25,0.62,0.13
12,A000000013882,클렌징,4.8,1,8,15,28,2,14,24,1,42,21,29,0.51,0.43,0.06
13,A000000139961,클렌징,4.6,1,10,0,30,3,14,8,1,32,18,25,0.33,0.55,0.12
14,A000000015026,클렌징,4.8,1,10,11,35,5,17,11,3,48,27,36,0.28,0.60,0.12
15,A000000016694,스킨케어,4.7,1,3,15,0,10,4,6,12,13,4,8,0.38,0.51,0.11
16,A000000002844,클렌징,4.7,1,8,1,17,1,1,2,2,25,13,19,0.06,0.58,0.36
17,A000000014686,스킨케어,4.6,1,11,22,0,7,11,4,5,12,10,25,0.08,0.42,0.51
18,A000000163281,스킨케어,4.7,1,3,3,5,45,0,21,3,9,0,5,0.62,0.35,0.04
19,A000000142661,스킨케어,4.6,1,5,20,0,24,2,4,5,15,4,10,0.44,0.49,0.07
20,A000000014357,스킨케어,4.6,1,8,17,0,11,4,7,22,19,7,11,0.34,0.55,0.12
21,A000000016651,클렌징,4.7,1,10,3,19,1,12,8,2,34,24,19,0.29,0.58,0.13
22,A000000136538,바디케어,4.8,1,4,0,4,0,0,0,0,4,2,4,,,
23,A000000139958,클렌징,4.6,1,11,8,33,1,17,14,2,46,40,37,0.43,0.52,0.05
24,A000000128988,클렌징,4.7,1,7,3,28,3,9,4,0,41,22,27,0.26,0.62,0.12
25,A000000002846,클렌징,4.7,1,17,6,32,1,22,11,3,40,34,31,0.11,0.55,0.35
26,A000000016698,스킨케어,4.7,1,7,27,0,12,1,10,21,19,8,11,0.35,0.53,0.13
27,A000000167994,스킨케어,4.7,1,1,8,0,9,14,8,1,9,1,14,0.63,0.37,0.00
28,A000000163278,스킨케어,4.8,1,6,9,0,41,6,20,5,6,3,12,0.64,0.33,0.03
29,A000000130319,클렌징,4.8,1,27,9,47,3,32,14,12,67,60,61,0.25,0.63,0.13
30,A000000142178,클렌징,4.7,1,11,9,43,0,25,6,4,44,36,43,0.28,0.63,0.09
31,A000000014360,클렌징,4.7,1,5,5,25,1,8,7,2,33,16,24,0.34,0.55,0.11
32,A000000013883,클렌징,4.8,1,8,9,22,1,13,15,2,32,16,24,0.45,0.48,0.07
33,A000000014948,스킨케어,4.7,1,9,2,1,10,0,3,14,21,1,11,0.22,0.63,0.15
34,A000000013194,클렌징,4.8,1,29,2,37,4,23,17,8,59,42,52,0.23,0.64,0.13
35,A000000158630,스킨케어,4.7,1,4,7,0,42,1,19,6,8,2,15,0.62,0.36,0.02
36,A000000148900,스킨케어,4.7,1,9,18,0,30,1,10,6,12,5,2,0.48,0.45,0.07
37,A000000170881,스킨케어,4.7,1,7,43,0,20,10,14,9,13,13,20,0.00,1.00,0.00
38,A000000166033,클렌징,4.8,1,3,4,39,3,21,4,2,50,14,40,0.40,0.50,0.10
39,A000000175266,클렌징,4.8,1,24,5,46,3,31,15,13,60,56,56,0.28,0.60,0.12
40,A000000166436,스킨케어,4.8,1,24,44,0,24,5,13,44,29,15,36,0.31,0.55,0.14
41,A000000002652,클렌징,4.8,1,25,5,45,3,31,15,13,61,57,56,0.24,0.61,0.15
42,A000000174373,클렌징,4.8,1,3,4,40,3,21,4,2,51,14,40,0.33,0.58,0.09
43,A000000002845,클렌징,4.7,1,8,2,18,0,6,2,0,34,19,25,0.12,0.55,0.33
44,A000000002653,클렌징,4.8,1,28,6,48,5,29,17,13,62,58,63,0.22,0.64,0.14
45,A000000010507,스킨케어,4.7,1,9,31,0,18,1,8,30,22,9,12,0.34,0.55,0.11
46,A000000158993,클렌징,4.6,1,15,1,28,1,20,6,8,28,27,21,0.35,0.48,0.17
47,A000000122076,스킨케어,4.7,1,6,19,0,14,2,10,25,23,8,13,0.37,0.53,0.10
