,product_id,카테고리,평점,속성_num,흡수,트러블,쿨링,진정,저자극,여드름,수분,보습,모공,지성,피부타입_건성에 좋아요,피부타입_복합성에 좋아요,피부타입_지성에 좋아요
0,A000000115199,마스크팩,4.8,2,6,22,70,63,28,9,13,2,7,6,0.23,0.59,0.18
1,A000000161719,스킨케어,4.7,2,15,11,0,5,19,2,7,22,4,7,0.51,0.47,0.03
2,A000000161314,스킨케어,4.8,2,11,8,0,6,20,3,14,20,3,11,0.37,0.57,0.07
3,A000000166869,스킨케어,4.8,2,6,10,1,8,16,6,6,2,6,13,0.05,0.53,0.42
4,A000000157294,스킨케어,4.8,2,12,10,1,9,22,2,21,31,2,8,0.65,0.29,0.06
5,A000000165728,스킨케어,4.7,2,20,12,0,22,10,8,9,13,0,1,0.27,0.71,0.02
6,A000000165557,스킨케어,4.7,2,17,4,0,1,17,4,14,17,0,5,0.46,0.52,0.02
7,A000000151356,스킨케어,4.8,2,7,20,2,17,42,9,11,16,2,5,0.24,0.59,0.17
8,A000000164216,마스크팩,4.8,2,4,5,0,4,17,0,2,10,6,3,0.42,0.56,0.03
9,A000000131022,마스크팩,4.6,2,1,13,1,49,17,5,10,21,0,1,0.43,0.50,0.08
10,A000000177777,스킨케어,4.7,2,47,27,1,18,23,8,25,11,63,15,0.20,0.30,0.50
11,A000000152514,스킨케어,4.8,2,9,16,4,13,32,18,18,13,3,33,0.05,0.43,0.52
12,A000000165564,마스크팩,4.8,2,4,15,77,64,21,8,4,0,12,0,0.21,0.59,0.20
13,A000000166435,스킨케어,4.7,2,9,27,1,39,20,17,23,14,3,15,0.23,0.62,0.15
14,A000000156128,스킨케어,4.6,2,12,26,1,13,39,36,28,9,35,25,0.08,0.53,0.39
15,A000000152029,스킨케어,4.7,2,23,10,0,6,6,2,6,12,1,2,0.45,0.51,0.04
16,A000000005766,스킨케어,4.7,2,4,11,1,7,25,8,9,3,7,18,0.08,0.53,0.39
17,A000000177778,스킨케어,4.7,2,15,35,0,25,20,27,15,10,9,14,0.11,0.39,0.50
18,A000000170689,스킨케어,4.8,2,38,9,0,3,24,13,22,23,2,6,0.35,0.59,0.06
19,A000000145279,스킨케어,4.2,2,6,10,0,12,4,1,5,4,2,2,0.23,0.51,0.26
20,A000000106038,스킨케어,4.7,2,5,19,0,15,16,23,11,4,16,13,0.08,0.56,0.37
21,A000000156125,스킨케어,4.5,2,13,25,0,7,35,11,23,13,20,9,0.40,0.51,0.09
22,A000000114176,마스크팩,4.7,2,8,18,73,54,29,10,17,6,16,11,0.24,0.57,0.20
23,A000000116659,스킨케어,4.8,2,2,2,0,6,12,2,13,9,0,4,0.61,0.36,0.03
24,A000000162480,스킨케어,4.6,2,15,8,0,20,11,7,10,9,0,2,0.38,0.50,0.12
25,A000000147869,스킨케어,4.7,2,22,10,1,1,17,4,5,15,1,4,0.28,0.66,0.06
26,A000000169512,마스크팩,4.7,2,1,2,0,5,15,1,30,24,1,9,0.55,0.42,0.03
27,A000000114119,스킨케어,4.7,2,16,32,0,19,23,26,14,12,7,10,0.14,0.60,0.26
28,A000000169067,마스크팩,4.7,2,14,22,13,72,48,16,36,27,2,3,,,
29,A000000173295,스킨케어,4.7,2,15,10,2,13,21,5,29,30,2,11,0.61,0.34,0.05
30,A000000126862,스킨케어,4.8,2,22,34,0,46,27,25,35,27,3,21,0.25,0.60,0.16
31,A000000162950,스킨케어,4.8,2,37,31,9,72,29,40,49,32,6,21,0.24,0.64,0.12
32,A000000171718,마스크팩,4.7,2,1,2,0,5,15,1,30,24,1,9,0.52,0.45,0.03
33,A000000171715,스킨케어,4.7,2,37,32,7,71,34,37,48,29,8,20,0.22,0.65,0.14
34,A000000156512,스킨케어,4.8,2,17,19,1,78,26,8,52,12,6,8,0.27,0.63,0.10
35,A000000129032,스킨케어,4.6,2,11,32,0,36,18,42,10,1,2,1,0.12,0.63,0.25
36,A000000146772,스킨케어,4.6,2,12,26,1,13,39,36,28,9,35,25,0.07,0.50,0.43
37,A000000167203,마스크팩,4.8,2,7,10,73,30,21,6,10,8,8,2,,,
38,A000000115419,스킨케어,4.7,2,16,14,2,20,14,17,20,6,3,26,0.15,0.43,0.42
39,A000000150909,스킨케어,4.7,2,22,9,0,6,7,2,6,11,1,2,0.41,0.53,0.07
40,A000000115420,스킨케어,4.7,2,6,17,0,12,20,18,10,4,3,12,0.11,0.59,0.30
41,A000000145283,마스크팩,4.7,2,5,9,2,35,15,5,22,18,1,2,0.26,0.65,0.10
42,A000000134690,스킨케어,4.5,2,4,18,0,6,29,15,8,3,8,9,0.12,0.49,0.39
43,A000000145277,스킨케어,4.7,2,6,20,0,9,36,24,8,4,4,34,0.02,0.30,0.68
44,A000000131745,스킨케어,4.5,2,9,2,0,2,11,3,1,6,0,1,0.29,0.67,0.04
45,A000000129035,스킨케어,4.7,2,7,15,2,13,24,12,12,15,0,7,0.27,0.52,0.21
46,A000000002839,스킨케어,4.8,2,6,16,0,25,26,8,14,13,1,11,0.22,0.64,0.14
47,A000000145282,마스크팩,4.7,2,5,9,2,35,15,5,22,18,1,2,0.49,0.42,0.09
48,A000000145276,스킨케어,4.5,2,6,3,0,3,11,4,3,6,0,4,0.46,0.49,0.06
49,A000000156680,스킨케어,4.7,2,8,11,0,9,18,2,9,19,0,3,0.25,0.67,0.08
50,A000000164236,마스크팩,4.8,2,11,1,0,7,11,1,13,15,0,6,0.74,0.26,0.00
51,A000000136873,스킨케어,4.8,2,12,10,1,8,23,2,19,30,2,7,0.52,0.43,0.05
52,A000000156377,스킨케어,4.7,2,13,5,0,5,19,1,3,15,0,5,0.48,0.48,0.04
53,A000000139347,스킨케어,4.8,2,13,12,0,15,26,5,25,35,1,7,0.42,0.51,0.07
54,A000000140631,스킨케어,4.6,2,18,54,3,37,25,33,13,5,11,14,0.08,0.50,0.42
55,A000000145226,마스크팩,4.6,2,1,1,3,4,11,2,5,7,0,2,0.44,0.54,0.02
56,A000000166013,스킨케어,4.6,2,42,23,1,14,19,9,23,11,58,15,0.21,0.60,0.19
57,A000000166867,스킨케어,4.8,2,34,21,2,55,24,7,22,32,2,8,0.19,0.64,0.18
58,A000000170509,스킨케어,4.7,2,9,27,1,40,22,17,24,15,3,16,0.28,0.50,0.23
59,A000000150937,마스크팩,4.8,2,6,8,1,6,7,4,8,16,0,5,0.56,0.41,0.03
60,A000000169103,스킨케어,4.7,2,16,32,0,21,20,25,13,11,8,11,0.09,0.63,0.29
61,A000000174311,스킨케어,4.7,2,29,17,0,27,18,9,12,22,0,3,0.33,0.56,0.12
62,A000000149903,마스크팩,4.8,2,3,13,6,41,22,2,14,25,0,5,0.39,0.53,0.08
63,A000000010474,스킨케어,4.8,2,10,26,0,23,35,23,20,20,4,21,0.17,0.59,0.24
64,A000000147860,스킨케어,4.7,2,28,18,1,12,21,5,36,21,7,13,0.31,0.61,0.08
65,A000000174371,스킨케어,4.8,2,27,16,6,10,21,4,45,25,0,13,0.36,0.54,0.10
66,A000000159468,스킨케어,4.6,2,39,18,0,4,34,7,7,10,6,4,0.46,0.51,0.03
67,A000000119839,스킨케어,4.7,2,28,26,1,33,17,20,4,15,1,7,0.27,0.64,0.09
68,A000000129030,스킨케어,4.7,2,14,19,0,5,19,23,17,13,2,11,0.24,0.57,0.20
69,A000000166868,스킨케어,4.3,2,13,17,2,11,23,13,12,7,16,15,0.08,0.45,0.47
70,A000000159467,스킨케어,4.6,2,39,18,0,4,34,7,7,10,6,4,0.27,0.64,0.09
71,A000000010472,스킨케어,4.6,2,4,31,0,35,17,48,3,0,1,3,0.09,0.58,0.33
72,A000000166267,스킨케어,4.6,2,42,23,1,14,19,9,23,11,58,15,0.12,0.53,0.35
73,A000000115418,스킨케어,4.7,2,9,26,0,40,20,31,9,3,0,7,0.12,0.59,0.30
74,A000000011268,스킨케어,4.8,2,8,14,0,12,24,18,8,8,9,26,0.06,0.50,0.44
75,A000000154339,마스크팩,4.8,2,9,11,1,51,33,6,11,27,2,4,0.35,0.56,0.10
76,A000000154923,스킨케어,4.8,2,8,24,2,24,37,10,18,20,2,8,0.23,0.60,0.18
77,A000000168447,스킨케어,4.6,2,0,1,0,1,6,3,2,0,1,2,0.12,0.72,0.16
78,A000000164211,스킨케어,4.8,2,7,18,0,17,29,16,17,15,4,15,0.17,0.59,0.24
79,A000000116600,스킨케어,4.6,2,6,5,1,2,12,1,9,7,5,9,0.16,0.69,0.15
80,A000000004434,스킨케어,4.8,2,23,15,3,9,23,4,42,20,0,14,0.39,0.51,0.10
