,product_id,카테고리,평점,속성_num,피지,저자극,세정력,보습,거품,각질,향,트러블,냄새,건조,피부타입_건성에 좋아요,피부타입_복합성에 좋아요,피부타입_지성에 좋아요
0,A000000155402,클렌징,4.5,3,7,45,1,0,33,40,2,5,13,5,0.23,0.54,0.23
1,A000000168145,바디케어,4.7,3,29,11,0,18,0,9,4,33,3,12,,,
2,A000000122981,바디케어,4.8,3,0,11,12,22,15,0,10,9,2,18,,,
3,A000000110832,바디케어,4.8,3,0,7,10,3,20,0,20,2,2,1,,,
4,A000000148903,바디케어,4.7,3,39,15,19,27,35,1,7,5,8,22,,,
5,A000000154158,클렌징,4.7,3,8,44,3,0,37,48,1,6,3,6,0.22,0.63,0.15
6,A000000122980,바디케어,4.8,3,1,6,13,24,24,1,7,1,2,24,,,
7,A000000150451,클렌징,4.7,3,8,31,7,3,22,36,3,3,3,10,0.18,0.67,0.15
8,A000000125836,클렌징,4.5,3,0,22,46,28,72,2,34,2,26,26,,,
9,A000000125836,바디케어,4.5,3,0,22,46,28,72,2,34,2,26,26,,,
10,A000000124548,바디케어,4.7,3,0,24,9,0,8,0,16,2,11,0,,,
11,A000000113494,바디케어,4.8,3,0,16,7,1,11,0,17,3,6,4,,,
12,A000000155239,바디케어,4.8,3,3,6,17,4,14,2,8,13,3,10,,,
13,A000000124982,바디케어,4.8,3,0,5,1,30,6,0,19,4,2,7,,,
14,A000000153980,바디케어,4.9,3,1,29,30,25,51,2,14,9,2,45,,,
15,A000000129026,클렌징,4.7,3,5,70,1,6,0,41,2,10,3,14,0.27,0.61,0.12
16,A000000124547,바디케어,4.9,3,0,19,3,2,14,0,16,0,4,2,,,
17,A000000175063,바디케어,4.8,3,1,41,12,1,35,0,30,2,22,10,,,
18,A000000166426,바디케어,5,3,16,10,4,2,16,3,3,6,1,6,,,
19,A000000136535,샴푸/린스,4.8,3,0,3,2,0,10,0,6,0,2,0,,,
20,A000000149877,마스크팩,4.8,3,4,41,0,3,1,48,3,2,0,8,0.30,0.53,0.18
21,A000000014290,바디케어,4.7,3,0,20,9,1,15,0,15,3,15,4,,,
22,A000000155399,클렌징,4.7,3,9,49,3,0,36,53,2,4,17,4,0.15,0.54,0.31
23,A000000115447,바디케어,4.7,3,0,16,0,1,3,0,18,0,20,1,,,
24,A000000152707,바디케어,4.7,3,0,5,17,39,49,3,20,1,6,23,,,
25,A000000015920,바디케어,4.6,3,2,19,24,18,35,6,5,5,4,35,,,
26,A000000011762,바디케어,4.6,3,0,17,0,0,0,0,23,1,24,1,,,
27,A000000125954,바디케어,4.8,3,0,38,15,2,61,0,32,1,19,7,,,
28,A000000013141,바디케어,4.6,3,2,4,11,5,21,1,8,12,4,8,,,
29,A000000113496,바디케어,4.8,3,0,3,5,10,5,0,6,0,0,2,,,
30,A000000125846,바디케어,4.5,3,0,3,0,1,0,0,9,1,16,3,,,
31,A000000155409,클렌징,4.7,3,6,47,3,1,38,52,1,5,3,6,0.20,0.64,0.16
