,product_id,카테고리,평점,속성_num,흡수,트러블,진정,지성,저자극,유분,수분,보습,건조,피지,피부타입_건성에 좋아요,피부타입_복합성에 좋아요,피부타입_지성에 좋아요
0,A000000136537,스킨케어,4.8,4,1,3,4,0,1,0,1,3,3,0,0.64,0.36,0.00
1,A000000106503,선케어,4.7,4,15,18,1,10,23,16,9,2,23,0,0.24,0.65,0.11
2,A000000164103,스킨케어,4.8,4,38,23,81,18,22,27,79,47,42,3,0.26,0.62,0.12
3,A000000130951,스킨케어,4.7,4,6,10,15,3,6,5,3,18,7,0,0.47,0.45,0.08
4,A000000161444,스킨케어,4.6,4,14,4,1,5,6,8,7,36,23,3,0.63,0.29,0.08
5,A000000170505,스킨케어,4.8,4,31,15,16,15,19,10,60,27,38,4,0.38,0.53,0.10
6,A000000164360,스킨케어,4.7,4,56,8,7,16,15,8,39,25,38,0,0.38,0.51,0.11
7,A000000149717,스킨케어,4.8,4,12,18,18,23,12,7,21,10,15,4,0.11,0.55,0.34
8,A000000141028,스킨케어,4.7,4,21,10,12,13,18,9,38,15,14,3,0.33,0.54,0.13
9,A000000103098,스킨케어,4.6,4,3,9,4,35,5,15,20,5,14,9,0.03,0.28,0.69
10,A000000177839,스킨케어,4.8,4,31,15,16,14,19,10,59,27,36,4,0.45,0.49,0.07
11,A000000129771,스킨케어,4.8,4,19,20,24,14,22,24,21,46,29,52,0.42,0.50,0.08
12,A000000143959,스킨케어,4.7,4,23,11,15,9,16,17,20,53,48,5,0.64,0.33,0.03
13,A000000147932,바디케어,4.8,4,18,1,4,0,2,3,5,44,20,3,,,
14,A000000177895,스킨케어,4.8,4,21,13,11,15,23,24,27,35,41,64,0.58,0.42,0.00
15,A000000165887,스킨케어,4.8,4,35,14,55,23,29,16,48,28,29,4,0.13,0.70,0.17
16,A000000149633,선케어,4.6,4,6,14,0,9,15,15,8,2,15,1,0.38,0.56,0.06
17,A000000130833,바디케어,4.8,4,1,0,1,0,2,0,0,6,6,0,,,
18,A000000167993,스킨케어,4.8,4,13,3,0,3,4,1,12,6,3,0,0.50,0.43,0.07
19,A000000145360,스킨케어,4.8,4,23,7,1,9,13,10,25,43,35,4,0.63,0.33,0.04
20,A000000121995,스킨케어,4.6,4,9,1,1,2,9,2,7,5,2,0,0.38,0.58,0.04
21,A000000012880,스킨케어,4.7,4,17,9,2,18,19,24,21,38,31,51,0.60,0.36,0.04
22,A000000163736,스킨케어,4.7,4,26,6,11,12,12,6,30,29,22,2,0.36,0.53,0.11
23,A000000014183,스킨케어,4.7,4,11,6,3,13,8,8,15,39,35,4,0.67,0.31,0.02
24,A000000156842,스킨케어,4.8,4,40,14,3,11,17,10,48,24,47,1,0.36,0.54,0.10
25,A000000145333,스킨케어,4.6,4,19,25,10,44,12,19,40,33,23,3,0.08,0.34,0.58
26,A000000113611,스킨케어,4.8,4,4,0,2,0,4,3,5,18,10,0,0.68,0.32,0.01
27,A000000142694,스킨케어,4.8,4,40,14,3,11,17,10,48,24,47,1,0.38,0.52,0.10
28,A000000165309,스킨케어,4.7,4,29,9,17,14,13,16,12,22,20,2,,,
29,A000000112523,선케어,4.6,4,5,12,1,9,19,15,7,0,13,0,0.41,0.54,0.05
30,A000000172171,바디케어,4.8,4,16,1,1,7,6,6,7,49,18,1,,,
31,A000000174374,스킨케어,4.7,4,23,30,54,27,17,32,23,47,33,13,0.59,0.38,0.03
32,A000000148899,스킨케어,4.8,4,19,15,9,13,30,10,25,33,27,48,0.44,0.52,0.05
33,A000000173370,바디케어,4.9,4,12,0,4,0,1,2,0,38,19,0,,,
34,A000000152580,스킨케어,4.7,4,18,20,32,10,14,11,11,17,28,2,0.50,0.41,0.09
35,A000000173322,스킨케어,4.8,4,21,13,11,15,23,24,27,35,41,64,0.49,0.47,0.04
36,A000000113609,스킨케어,4.8,4,8,4,3,1,12,2,15,13,7,0,0.25,0.70,0.05
37,A000000139057,스킨케어,4.8,4,12,12,11,6,11,4,23,17,19,1,0.46,0.49,0.05
38,A000000121852,선케어,4.6,4,14,13,1,13,15,13,8,2,17,0,0.26,0.62,0.12
39,A000000134691,스킨케어,4.7,4,15,30,48,25,13,25,22,45,26,10,0.66,0.30,0.04
40,A000000126470,스킨케어,4.7,4,7,12,20,9,16,10,11,18,13,1,0.43,0.49,0.08
41,A000000125012,스킨케어,4.8,4,9,9,8,14,13,7,35,15,16,0,0.32,0.55,0.13
42,A000000156511,스킨케어,4.9,4,44,17,45,8,25,6,37,21,33,5,0.30,0.60,0.10
43,A000000164206,스킨케어,4.7,4,34,3,5,5,8,10,18,27,19,0,0.39,0.58,0.03
44,A000000004925,스킨케어,4.5,4,14,11,9,24,11,12,14,7,8,10,0.08,0.44,0.48
45,A000000161722,스킨케어,4.7,4,9,4,1,3,7,12,3,13,21,0,0.65,0.35,0.01
46,A000000113195,스킨케어,4.7,4,17,16,8,20,12,15,24,13,17,25,0.08,0.46,0.46
47,A000000165841,선케어,4.6,4,11,5,0,11,11,8,11,2,9,1,0.33,0.58,0.09
48,A000000166433,바디케어,4.7,4,1,0,2,0,4,0,1,28,11,0,,,
49,A000000010088,스킨케어,4.7,4,17,15,26,10,11,17,16,29,27,5,0.67,0.30,0.03
50,A000000173702,바디케어,4.8,4,7,2,0,0,5,6,7,65,34,53,,,
51,A000000016432,바디케어,4.5,4,7,3,1,2,2,5,3,45,35,1,,,
52,A000000121994,스킨케어,4.6,4,4,1,0,1,4,2,3,10,5,0,0.43,0.51,0.07
