product_id,카테고리,평점,속성_num,트러블,수분,세정력,보습,메이크업,건성,진정,저자극,세안,화장,피부타입_건성에 좋아요,피부타입_복합성에 좋아요,피부타입_지성에 좋아요,흡수,쿨링,여드름,모공,지성,피지,거품,각질,향,냄새,건조,유분,약산성,review
A000000002323,bodycare,4.7,5,5,0,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2,0,17,0,0,0,5,0,7,57
A000000002341,bodycare,4.6,4,3,6,0,30,0,0,7,4,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,23,5,0,90
A000000002345,bodycare,4.8,4,0,2,0,24,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,1,0,84
A000000002346,bodycare,4.7,4,0,1,0,38,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,2,0,99
A000000002652,cleansing,4.8,1,25,5,45,3,31,15,13,61,57,56,0.24,0.61,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000002653,cleansing,4.8,1,28,6,48,5,29,17,13,62,58,63,0.22,0.64,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000002654,cleansing,4.8,1,27,6,47,4,29,17,11,61,59,64,0.21,0.65,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000002838,cleansing,4.5,5,16,0,21,0,0,0,0,44,0,0,0.33,0.54,0.14,0,0,12,2,6,3,2,0,0,0,9,0,2,100
A000000002839,skincare,4.8,2,16,14,0,13,0,0,25,26,0,0,0.22,0.64,0.14,6,0,8,1,11,0,0,0,0,0,0,0,0,100
A000000002844,cleansing,4.7,1,8,1,17,1,1,2,2,25,13,19,0.06,0.58,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,96
A000000002845,cleansing,4.7,1,8,2,18,0,6,2,0,34,19,25,0.12,0.55,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,100
